id	Source	webSource	Fusion_pair	H_gene	H_chr	H_position	H_strand	T_gene	T_chr	T_position	T_strand	Breakpoint_Type	Genome_Build_Version	PMID	Disease	Validation	Kinase	Oncogene	Tumor_suppressor	Receptor	Transcription_Factor	ChimerPub	ChimerSeq
1	Cosmic_recurrent	Cosmic	AGTRAP_BRAF	AGTRAP		534		BRAF		1201		Exonic	hg19				Kinase			Receptor			Seq
2	Cosmic_recurrent	Cosmic	ASPSCR1_TFE3	ASPSCR1		1030		TFE3		1146		Exonic	hg19					Oncogene				Pub	Seq
3	Cosmic_recurrent	Cosmic	ASPSCR1_TFE3	ASPSCR1		1030		TFE3		1041		Exonic	hg19					Oncogene				Pub	Seq
4	Cosmic_recurrent	Cosmic	BCR_ABL1	BCR		3458		ABL1		461		Exonic	hg19				Kinase	Oncogene				Pub	Seq
5	Cosmic_recurrent	Cosmic	BCR_ABL1	BCR		2030		ABL1		461		Exonic	hg19				Kinase	Oncogene				Pub	Seq
6	Cosmic_recurrent	Cosmic	BCR_ABL1	BCR		4073		ABL1		461		Exonic	hg19				Kinase	Oncogene				Pub	Seq
7	Cosmic_recurrent	Cosmic	BCR_ABL1	BCR		3533		ABL1		635		Exonic	hg19				Kinase	Oncogene				Pub	Seq
8	Cosmic_recurrent	Cosmic	BCR_ABL1	BCR		2030		ABL1		635		Exonic	hg19				Kinase	Oncogene				Pub	Seq
9	Cosmic_recurrent	Cosmic	BCR_ABL1	BCR		3458		ABL1		635		Exonic	hg19				Kinase	Oncogene				Pub	Seq
10	Cosmic_recurrent	Cosmic	BCR_ABL1	BCR		2866		ABL1		461-16		Exonic	hg19				Kinase	Oncogene				Pub	Seq
11	Cosmic_recurrent	Cosmic	BCR_ABL1	BCR		3458+89		ABL1		461-4395		Exonic	hg19				Kinase	Oncogene				Pub	Seq
12	Cosmic_recurrent	Cosmic	BCR_ABL1	BCR		2672		ABL1		461		Exonic	hg19				Kinase	Oncogene				Pub	Seq
13	Cosmic_recurrent	Cosmic	BCR_ABL1	BCR		3631		ABL1		461		Exonic	hg19				Kinase	Oncogene				Pub	Seq
14	Cosmic_recurrent	Cosmic	BCR_ABL1	BCR		2127		ABL1		388		Exonic	hg19				Kinase	Oncogene				Pub	Seq
15	Cosmic_recurrent	Cosmic	BCR_ABL1	BCR		4073+82		ABL1		461-416		Exonic	hg19				Kinase	Oncogene				Pub	Seq
16	Cosmic_recurrent	Cosmic	BCR_ABL1	BCR		2317		ABL1		461-?		Exonic	hg19				Kinase	Oncogene				Pub	Seq
17	Cosmic_recurrent	Cosmic	BCR_ABL1	BCR		2212		ABL1		461		Exonic	hg19				Kinase	Oncogene				Pub	Seq
18	Cosmic_recurrent	Cosmic	BCR_ABL1	BCR		2866		ABL1		461-?		Exonic	hg19				Kinase	Oncogene				Pub	Seq
19	Cosmic_recurrent	Cosmic	BCR_ABL1	BCR		4073+1044		ABL1		461-?		Exonic	hg19				Kinase	Oncogene				Pub	Seq
